========================================
  TurtleBot4 Wall Follower (RANSAC)    
========================================

[WallFollower] Connected to shared memory segments:
  - /shm_scan
  - /shm_odom
  - /shm_cmd_vel

[WallFollower] Initialized. Target distance: 0.4m.
[WallFollower] Running... Press Ctrl+C to stop

[Control] Distance to wall: 0.417748m | Angle error: -21.2213° | Front clearance: 0.132m
[Control] Distance to wall: 0.417936m | Angle error: -20.9252° | Front clearance: 0.132m
[Control] Distance to wall: 0.418195m | Angle error: -20.9089° | Front clearance: 0.132m
[Control] Distance to wall: 0.417894m | Angle error: -21.16° | Front clearance: 0.132m
[Control] Distance to wall: 0.417894m | Angle error: -21.16° | Front clearance: 0.132m
[Control] Distance to wall: 0.417877m | Angle error: -20.918° | Front clearance: 0.132m
[Control] Distance to wall: 0.417509m | Angle error: -21.132° | Front clearance: 0.132m
[Control] Distance to wall: 0.418068m | Angle error: -20.7961° | Front clearance: 0.132m
[Control] Distance to wall: 0.417681m | Angle error: -21.1261° | Front clearance: 0.132m
[Control] Distance to wall: 0.417681m | Angle error: -21.1261° | Front clearance: 0.132m
[Control] Distance to wall: 0.418224m | Angle error: -20.9205° | Front clearance: 0.132m
[Control] Distance to wall: 0.41773m | Angle error: -21.1656° | Front clearance: 0.132m
[Control] Distance to wall: 0.418018m | Angle error: -20.9447° | Front clearance: 0.132m
[Control] Distance to wall: 0.41834m | Angle error: -20.8784° | Front clearance: 0.132m
[Control] Distance to wall: 0.41812m | Angle error: -20.9034° | Front clearance: 0.132m
[Control] Distance to wall: 0.417721m | Angle error: -21.1196° | Front clearance: 0.132m
[Control] Distance to wall: 0.418163m | Angle error: -20.8976° | Front clearance: 0.132m
[Control] Distance to wall: 0.418163m | Angle error: -20.8976° | Front clearance: 0.132m
[Control] Distance to wall: 0.418192m | Angle error: -20.9019° | Front clearance: 0.132m
[Control] Distance to wall: 0.417812m | Angle error: -21.1204° | Front clearance: 0.132m
[Loop 20] Processing scans...[Control] Distance to wall: 0.417812m | Angle error: -21.1204° | Front clearance: 0.132m
[Control] Distance to wall: 0.418395m | Angle error: -20.8804° | Front clearance: 0.132m
[Control] Distance to wall: 0.418395m | Angle error: -20.8804° | Front clearance: 0.132m
[Control] Distance to wall: 0.418395m | Angle error: -20.8804° | Front clearance: 0.132m
[Control] Distance to wall: 0.418442m | Angle error: -20.8888° | Front clearance: 0.132m
[Control] Distance to wall: 0.418123m | Angle error: -21.1126° | Front clearance: 0.132m
[Control] Distance to wall: 0.418123m | Angle error: -21.1126° | Front clearance: 0.132m
[Control] Distance to wall: 0.418646m | Angle error: -20.8834° | Front clearance: 0.132m
[Control] Distance to wall: 0.418646m | Angle error: -20.8834° | Front clearance: 0.132m
[Control] Distance to wall: 0.418355m | Angle error: -20.9001° | Front clearance: 0.132m
[Control] Distance to wall: 0.418355m | Angle error: -20.9001° | Front clearance: 0.132m
[Control] Distance to wall: 0.418355m | Angle error: -20.9001° | Front clearance: 0.132m
[Control] Distance to wall: 0.418383m | Angle error: -20.9062° | Front clearance: 0.132m
[Control] Distance to wall: 0.417993m | Angle error: -21.1247° | Front clearance: 0.132m
[Control] Distance to wall: 0.418604m | Angle error: -20.8811° | Front clearance: 0.132m
[Control] Distance to wall: 0.418113m | Angle error: -20.8871° | Front clearance: 0.132m
[Control] Distance to wall: 0.418113m | Angle error: -20.8871° | Front clearance: 0.132m
[Control] Distance to wall: 0.418113m | Angle error: -20.8871° | Front clearance: 0.132m
[Control] Distance to wall: 0.418219m | Angle error: -20.8948° | Front clearance: 0.132m
[Control] Distance to wall: 0.417588m | Angle error: -21.1352° | Front clearance: 0.132m
[Loop 40] Processing scans...[Control] Distance to wall: 0.41871m | Angle error: -20.5701° | Front clearance: 0.132m
[Control] Distance to wall: 0.417902m | Angle error: -21.1168° | Front clearance: 0.132m
[Control] Distance to wall: 0.417999m | Angle error: -21.1335° | Front clearance: 0.132m
[Control] Distance to wall: 0.418219m | Angle error: -20.8769° | Front clearance: 0.132m
[Control] Distance to wall: 0.418518m | Angle error: -20.9422° | Front clearance: 0.132m
[Control] Distance to wall: 0.418518m | Angle error: -20.9422° | Front clearance: 0.132m
[Control] Distance to wall: 0.418394m | Angle error: -21.2089° | Front clearance: 0.132m
[Control] Distance to wall: 0.418506m | Angle error: -21.2269° | Front clearance: 0.132m
[Control] Distance to wall: 0.417822m | Angle error: -20.9241° | Front clearance: 0.132m
[Control] Distance to wall: 0.417822m | Angle error: -20.9241° | Front clearance: 0.132m
[Control] Distance to wall: 0.417445m | Angle error: -21.1497° | Front clearance: 0.132m
[Control] Distance to wall: 0.418285m | Angle error: -21.0643° | Front clearance: 0.132m
[Control] Distance to wall: 0.418422m | Angle error: -20.8802° | Front clearance: 0.132m
[Control] Distance to wall: 0.418147m | Angle error: -21.1133° | Front clearance: 0.132m
[Control] Distance to wall: 0.418182m | Angle error: -20.9167° | Front clearance: 0.132m
[Control] Distance to wall: 0.418115m | Angle error: -21.2186° | Front clearance: 0.132m
[Control] Distance to wall: 0.418182m | Angle error: -20.9167° | Front clearance: 0.132m
[Control] Distance to wall: 0.417782m | Angle error: -21.139° | Front clearance: 0.132m
[Control] Distance to wall: 0.417901m | Angle error: -20.8486° | Front clearance: 0.132m
[Control] Distance to wall: 0.418188m | Angle error: -20.5475° | Front clearance: 0.132m
[Loop 60] Processing scans...[Control] Distance to wall: 0.418419m | Angle error: -20.6143° | Front clearance: 0.132m
[Control] Distance to wall: 0.418419m | Angle error: -20.6143° | Front clearance: 0.132m
[Control] Distance to wall: 0.418634m | Angle error: -20.7905° | Front clearance: 0.132m
[Control] Distance to wall: 0.418483m | Angle error: -20.8555° | Front clearance: 0.132m
[Control] Distance to wall: 0.417886m | Angle error: -21.1144° | Front clearance: 0.132m
[Control] Distance to wall: 0.418539m | Angle error: -20.5478° | Front clearance: 0.132m
[Control] Distance to wall: 0.418338m | Angle error: -20.5726° | Front clearance: 0.132m
[Control] Distance to wall: 0.418539m | Angle error: -20.5478° | Front clearance: 0.132m
[Control] Distance to wall: 0.418416m | Angle error: -20.9023° | Front clearance: 0.132m
[Control] Distance to wall: 0.418193m | Angle error: -21.2096° | Front clearance: 0.132m
[Control] Distance to wall: 0.418153m | Angle error: -21.2649° | Front clearance: 0.132m
[Control] Distance to wall: 0.418341m | Angle error: -21.2725° | Front clearance: 0.132m
[Control] Distance to wall: 0.418236m | Angle error: -21.2557° | Front clearance: 0.132m
[Control] Distance to wall: 0.418406m | Angle error: -20.8335° | Front clearance: 0.132m
[Control] Distance to wall: 0.41865m | Angle error: -20.802° | Front clearance: 0.132m
[Control] Distance to wall: 0.418406m | Angle error: -20.8335° | Front clearance: 0.132m
[Control] Distance to wall: 0.418331m | Angle error: -20.9435° | Front clearance: 0.132m
[Control] Distance to wall: 0.418331m | Angle error: -20.9435° | Front clearance: 0.132m
[Control] Distance to wall: 0.418331m | Angle error: -20.9435° | Front clearance: 0.132m
[Control] Distance to wall: 0.417919m | Angle error: -21.122° | Front clearance: 0.132m
[Loop 80] Processing scans...[Control] Distance to wall: 0.417919m | Angle error: -21.122° | Front clearance: 0.132m
[Control] Distance to wall: 0.417919m | Angle error: -21.122° | Front clearance: 0.132m
[Control] Distance to wall: 0.41849m | Angle error: -21.206° | Front clearance: 0.132m
[Control] Distance to wall: 0.418137m | Angle error: -21.2191° | Front clearance: 0.132m
[Control] Distance to wall: 0.418338m | Angle error: -20.9103° | Front clearance: 0.132m
[Control] Distance to wall: 0.418338m | Angle error: -20.9103° | Front clearance: 0.132m
[Control] Distance to wall: 0.418338m | Angle error: -20.9103° | Front clearance: 0.132m
[Control] Distance to wall: 0.418754m | Angle error: -20.813° | Front clearance: 0.132m
[Control] Distance to wall: 0.418754m | Angle error: -20.813° | Front clearance: 0.132m
[Control] Distance to wall: 0.41901m | Angle error: -20.7816° | Front clearance: 0.132m
[Control] Distance to wall: 0.41865m | Angle error: -20.8143° | Front clearance: 0.132m
[Control] Distance to wall: 0.418142m | Angle error: -21.1034° | Front clearance: 0.132m
[Control] Distance to wall: 0.418028m | Angle error: -20.591° | Front clearance: 0.132m
[Control] Distance to wall: 0.418085m | Angle error: -21.1515° | Front clearance: 0.132m
[Control] Distance to wall: 0.418422m | Angle error: -20.9281° | Front clearance: 0.132m
[Control] Distance to wall: 0.418326m | Angle error: -20.9513° | Front clearance: 0.132m
[Control] Distance to wall: 0.417961m | Angle error: -21.1761° | Front clearance: 0.132m
[Control] Distance to wall: 0.418019m | Angle error: -20.8849° | Front clearance: 0.132m
[Control] Distance to wall: 0.418973m | Angle error: -20.8389° | Front clearance: 0.132m
[Control] Distance to wall: 0.418973m | Angle error: -20.8389° | Front clearance: 0.132m
[Loop 100] Processing scans...[Control] Distance to wall: 0.418724m | Angle error: -20.8681° | Front clearance: 0.132m
[Control] Distance to wall: 0.418547m | Angle error: -21.2226° | Front clearance: 0.132m
[Control] Distance to wall: 0.418547m | Angle error: -21.2226° | Front clearance: 0.132m
[Control] Distance to wall: 0.419171m | Angle error: -21.0937° | Front clearance: 0.132m
[Control] Distance to wall: 0.418925m | Angle error: -20.8532° | Front clearance: 0.132m
[Control] Distance to wall: 0.418151m | Angle error: -21.1668° | Front clearance: 0.132m
[Control] Distance to wall: 0.418136m | Angle error: -21.213° | Front clearance: 0.132m
[Control] Distance to wall: 0.418136m | Angle error: -21.213° | Front clearance: 0.132m
[Control] Distance to wall: 0.417861m | Angle error: -20.9423° | Front clearance: 0.132m
[Control] Distance to wall: 0.418094m | Angle error: -20.9211° | Front clearance: 0.132m
[Control] Distance to wall: 0.417926m | Angle error: -21.1718° | Front clearance: 0.132m
